,Unnamed: 0,job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,experience_encoded,company_encoded,job_category,job_cat_encoded,job_clean,residence_category,region_encoded,map_category,map_encoded
144,144,Data Architect,Senior-level,Full-time,On-site,2024,United States,178600,USD,178600,United States,Medium,3.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
145,145,Data Architect,Senior-level,Full-time,On-site,2024,United States,67200,USD,67200,United States,Medium,3.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
146,146,Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium,2.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
147,147,Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium,2.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
148,148,Data Analyst,Senior-level,Full-time,Remote,2024,United States,169000,USD,169000,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
149,149,Data Analyst,Senior-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
150,150,Research Engineer,Senior-level,Full-time,On-site,2024,United States,450000,USD,450000,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
151,151,Research Engineer,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
152,152,ETL Developer,Senior-level,Full-time,On-site,2024,United States,99500,USD,99500,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
153,153,ETL Developer,Senior-level,Full-time,On-site,2024,United States,53300,USD,53300,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
154,154,Research Engineer,Senior-level,Full-time,On-site,2024,United States,240960,USD,240960,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
155,155,Research Engineer,Senior-level,Full-time,On-site,2024,United States,200800,USD,200800,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
156,156,Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
157,157,Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
158,158,Data Engineer,Mid-level,Full-time,Remote,2024,United States,125000,USD,125000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
159,159,Data Engineer,Mid-level,Full-time,Remote,2024,United States,115000,USD,115000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
160,160,Data Science,Senior-level,Full-time,On-site,2024,United States,261050,USD,261050,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
161,161,Data Science,Senior-level,Full-time,On-site,2024,United States,187000,USD,187000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
162,162,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,331640,USD,331640,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
163,163,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,283780,USD,283780,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
164,164,Data Analyst,Senior-level,Full-time,On-site,2024,United States,146500,USD,146500,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
165,165,Data Analyst,Senior-level,Full-time,On-site,2024,United States,96000,USD,96000,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
166,166,Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,235000,USD,235000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
167,167,Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,185000,USD,185000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
168,168,Data Scientist,Mid-level,Full-time,Remote,2024,United States,140400,USD,140400,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
169,169,Data Scientist,Mid-level,Full-time,Remote,2024,United States,90000,USD,90000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
170,170,Research Scientist,Senior-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
171,171,Research Scientist,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
172,172,Data Architect,Senior-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium,3.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
173,173,Data Engineer,Senior-level,Full-time,On-site,2024,United States,260000,USD,260000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
174,174,Data Engineer,Senior-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
